acd  Acinetobacter oleivorans
acb  Acinetobacter baumannii ATCC 17978
abm  Acinetobacter baumannii SDF
aby  Acinetobacter baumannii AYE
abc  Acinetobacter baumannii ACICU
abn  Acinetobacter baumannii AB0057
abb  Acinetobacter baumannii AB307-0294
acc  Acinetobacter calcoaceticus
mct  Moraxella catarrhalis
son  Shewanella oneidensis
sdn  Shewanella denitrificans
sfr  Shewanella frigidimarina
saz  Shewanella amazonensis
sbl  Shewanella baltica OS155
sbm  Shewanella baltica OS185
sbn  Shewanella baltica OS195
sbp  Shewanella baltica OS223
sbt  Shewanella baltica OS678
slo  Shewanella loihica
spc  Shewanella putrefaciens
sse  Shewanella sediminis
spl  Shewanella pealeana
she  Shewanella sp. MR-4
shm  Shewanella sp. MR-7
shn  Shewanella sp. ANA-3
shw  Shewanella sp. W3-18-1
shl  Shewanella halifaxensis
swd  Shewanella woodyi ATCC 51908
swp  Shewanella piezotolerans WP3
svo  Shewanella violacea
ilo  Idiomarina loihiensis
cps  Colwellia psychrerythraea
pha  Pseudoalteromonas haloplanktis
pat  Pseudoalteromonas atlantica
psm  Pseudoalteromonas sp. SM9913
sde  Saccharophagus degradans
maq  Marinobacter aquaeolei
amc  Alteromonas macleodii
alt  Alteromonas sp. SN2
gag  Glaciecola sp. 4H-3-7+YE-5
gni  Glaciecola nitratireducens
pin  Psychromonas ingrahamii
ttu  Teredinibacter turnerae
fbl  Ferrimonas balearica
cbu  Coxiella burnetii RSA 493
cbs  Coxiella burnetii RSA 331
cbd  Coxiella burnetii Dugway 5J108-111
cbg  Coxiella burnetii CbuG_Q212
cbc  Coxiella burnetii CbuK_Q154
lpn  Legionella pneumophila Philadelphia 1
lpf  Legionella pneumophila Lens
lpp  Legionella pneumophila Paris
lpc  Legionella pneumophila Corby
lpa  Legionella pneumophila 2300/99 Alcoy
lpe  Legionella pneumophila subsp. pneumophila ATCC 43290
llo  Legionella longbeachae
mca  Methylococcus capsulatus
mmt  Methylomonas methanica
mah  Methylomicrobium alcaliphilum
ftu  Francisella tularensis subsp. tularensis SCHU S4
ftf  Francisella tularensis subsp. tularensis FSC 198
ftw  Francisella tularensis subsp. tularensis WY96-3418
ftl  Francisella tularensis subsp. holarctica LVS
fth  Francisella tularensis subsp. holarctica OSU18
fta  Francisella tularensis subsp. holarctica FTNF002-00
ftm  Francisella tularensis subsp. mediasiatica FSC147
ftt  Francisella tularensis TI0902
ftg  Francisella tularensis TIGB03
ftn  Francisella novicida U112
fph  Francisella philomiragia
frt  Francisella sp. TX077308
tcx  Thiomicrospira crunogena
tcy  Thioalkalimicrobium cyclicum
noc  Nitrosococcus oceani
nhl  Nitrosococcus halophilus
nwa  Nitrosococcus watsonii
alv  Allochromatium vinosum
aeh  Alkalilimnicola ehrlichei
hha  Halorhodospira halophila
tgr  Thioalkalivibrio sp. HL-EbGR7
tkm  Thioalkalivibrio sp. K90mix
hna  Halothiobacillus neapolitanus
hch  Hahella chejuensis
csa  Chromohalobacter salexigens
hel  Halomonas elongata
abo  Alcanivorax borkumensis
kko  Kangiella koreensis
mmw  Marinomonas sp. MWYL1
mme  Marinomonas mediterranea
